local_repo	remote_url	commit
lsp-ui	https://github.com/emacs-lsp/lsp-ui.git	8d888a3ab1ba9e46bd4711398c57d39d0b709a45
lua-mode	https://github.com/immerrr/lua-mode.git	2f6b8d7a6317e42c953c5119b0119ddb337e0a5f
macrostep	https://github.com/emacsorphanage/macrostep.git	d0928626b4711dcf9f8f90439d23701118724199
magit	https://github.com/magit/magit.git	c800f79c2061621fde847f6a53129eca0e8da728
map	https://github.com/emacs-straight/map.git	d0aac540461a2ed0e6f9e83de68a819d1a0db8c1
marginalia	https://github.com/minad/marginalia.git	8d87d2aedcefe0b157204f5c936dce3d0eacdf27
markdown-mode	https://github.com/jrblevin/markdown-mode.git	1f72cefa6a4b759f90e335e4908725a721b17ad9
markdown-toc	https://github.com/ardumont/markdown-toc.git	d22633b654193bcab322ec51b6dd3bb98dd5f69f
melpa	https://github.com/melpa/melpa.git	0a16d7c30957f7820cc5c754b3651a3aff757a86
mpdel	https://github.com/mpdel/mpdel.git	64cf50aca68064c2857ed0e5a8fddb2075d97090
multiple-cursors.el	https://github.com/magnars/multiple-cursors.el.git	94b8b07a4bab87f803123723b68227565429dfa1
navigel	https://github.com/DamienCassou/navigel.git	539fe2d9542b01824869b98cde000079a1159b9f
nerd-icons.el	https://github.com/rainstormstudio/nerd-icons.el.git	ae1b85c487c2b0bb1efb8bc0edc23af74282eec2
nodejs-repl.el	https://github.com/abicky/nodejs-repl.el.git	c232b4964bd1c9f202fd515685b42c69af415f19
nongnu-elpa	https://github.com/emacsmirror/nongnu_elpa.git	9a138bb309154f4595bd11b6e12cd2d56d99dc49
ob-async	https://github.com/astahlman/ob-async.git	9aac486073f5c356ada20e716571be33a350a982
orderless	https://github.com/oantolin/orderless.git	a5e960f5a9a080d982aba86378da1d12641cae5c
org	https://github.com/emacs-straight/org-mode.git	2f6959386141ea0f02e84b7b5903c8866caf2636
org-cliplink	https://github.com/rexim/org-cliplink.git	13e0940b65d22bec34e2de4bc8cba1412a7abfbc
org-contrib	https://github.com/emacsmirror/org-contrib.git	b840bdabd1867f9d51ee36bef7bac4be7073288c
org-ql	https://github.com/alphapapa/org-ql.git	4b8330a683c43bb4a2c64ccce8cd5a90c8b174ca
org-roam	https://github.com/org-roam/org-roam.git	903bd4ec56d29247990d005ed9052c201e18b812
org-super-agenda	https://github.com/alphapapa/org-super-agenda.git	fb20ad9c8a9705aa05d40751682beae2d094e0fe
org-transclusion	https://github.com/emacs-straight/org-transclusion.git	2b010733bd888519d0dacb64f4acf023a2334a38
org-tree-slide	https://github.com/takaxp/org-tree-slide.git	e2599a106a26ce5511095e23df4ea04be6687a8a
orgit	https://github.com/magit/orgit.git	4fb91faff3bf32dac5f6f932654c280cd1f190f7
ov	https://github.com/emacsorphanage/ov.git	e2971ad986b6ac441e9849031d34c56c980cf40b
overseer.el	https://github.com/tonini/overseer.el.git	7fdcf1a6fba6b1569a09c1666b4e51bcde266ed9
ox-clip	https://github.com/jkitchin/ox-clip.git	a549cc8e1747beb6b7e567ffac27e31ba45cb8e8
